Country,City,Total Tons,First Mission,Last Mission,Num Missions,location
FRANCE,LA HAYE,1728.0,6/1/1944,8/28/1944,21,"LA HAYE, France"
FRANCE,LA HAYE DU PUITS,182.0,6/12/1944,6/8/1944,4,"LA HAYE DU PUITS, France"
FRANCE,LA HAYE PESNEL,93.0,7/24/1944,7/24/1944,3,"LA HAYE PESNEL, France"
FRANCE,LA HOLLANDE,60.0,3/24/1945,3/24/1945,3,"LA HOLLANDE, France"
FRANCE,LA HOUSSOYE,618.0,7/17/1944,8/8/1944,18,"LA HOUSSOYE, France"
FRANCE,LA LOUPE,351.0,6/17/1944,7/6/1944,12,"LA LOUPE, France"
FRANCE,LA MARRE,88.0,6/22/1944,6/22/1944,2,"LA MARRE, France"
FRANCE,LA MEILLARD,72.0,1/14/1944,1/14/1944,3,"LA MEILLARD, France"
FRANCE,LA MORINIERE,14.0,7/4/1944,7/4/1944,10,"LA MORINIERE, France"
FRANCE,LA PALLICE,2482.0,11/18/1942,9/16/1943,84,"LA PALLICE, France"
FRANCE,LA PERNELLE,1243.0,5/19/1944,6/7/1944,12,"LA PERNELLE, France"
FRANCE,LA PHILIBERTE FERME,88.0,7/14/1944,7/14/1944,2,"LA PHILIBERTE FERME, France"
FRANCE,LA POSSONIERE,294.0,6/15/1944,7/19/1944,4,"LA POSSONIERE, France"
FRANCE,LA POTSVIE AU PENCH,18.0,7/6/1944,7/6/1944,2,"LA POTSVIE AU PENCH, France"
FRANCE,LA POURCHINTE,282.0,9/1/1944,9/1/1944,3,"LA POURCHINTE, France"
FRANCE,LA PUISAYE,78.0,8/5/1944,8/5/1944,2,"LA PUISAYE, France"
FRANCE,LA RABELLERIE,78.0,8/17/1944,8/17/1944,2,"LA RABELLERIE, France"
FRANCE,LA RICAMARIE,78.0,3/10/1944,3/10/1944,1,"LA RICAMARIE, France"
FRANCE,LA ROCHE SUR YON,286.0,1/1/1945,12/27/1944,6,"LA ROCHE SUR YON, France"
FRANCE,LA ROCHELLE,447.0,1/12/1942,4/12/1941,16,"LA ROCHELLE, France"
FRANCE,LA ROUPIE,76.0,4/23/1944,4/23/1944,2,"LA ROUPIE, France"
FRANCE,LA SORELLERIE,52.0,2/15/1944,2/15/1944,2,"LA SORELLERIE, France"
FRANCE,LA VOULTE SUR RHONE,132.0,8/6/1944,8/7/1944,6,"LA VOULTE SUR RHONE, France"
FRANCE,LABROYE,264.0,1/21/1944,12/24/1943,6,"LABROYE, France"
FRANCE,LAIGLE,739.0,6/7/1944,8/5/1944,27,"LAIGLE, France"
FRANCE,LAMBERS,140.0,8/31/1944,8/31/1944,2,"LAMBERS, France"
FRANCE,LAMBUS,351.0,6/20/1944,6/23/1944,6,"LAMBUS, France"
FRANCE,LANDES DE BUSSAC,99.0,3/5/1944,3/5/1944,6,"LANDES DE BUSSAC, France"
FRANCE,LANEUVILLE,340.0,8/12/1944,8/9/1944,9,"LANEUVILLE, France"
FRANCE,LANNION,46.0,10/24/1941,9/17/1940,36,"LANNION, France"
FRANCE,LAON,7259.0,1/13/1943,8/8/1944,158,"LAON, France"
FRANCE,LAPENNE,153.0,4/12/1944,4/12/1944,3,"LAPENNE, France"
FRANCE,LAUNAY,92.0,8/17/1944,8/17/1944,4,"LAUNAY, France"
FRANCE,LAVAL,1936.0,5/28/1944,7/24/1944,39,"LAVAL, France"
FRANCE,LAVAUPLIERE,90.0,6/25/1944,6/25/1944,3,"LAVAUPLIERE, France"
FRANCE,LAYE LEBELLES MARTIN,180.0,6/29/1944,6/29/1944,5,"LAYE LEBELLES MARTIN, France"
FRANCE,LE BOURG,216.0,8/14/1944,8/17/1944,8,"LE BOURG, France"
FRANCE,LE BOURGET,2568.0,6/14/1944,8/16/1943,102,"LE BOURGET, France"
FRANCE,LE CHATELET,309.0,6/4/1944,6/4/1944,12,"LE CHATELET, France"
FRANCE,LE CLIPON,710.0,5/19/1944,5/27/1944,3,"LE CLIPON, France"
FRANCE,LE COMBE,48.0,8/13/1944,8/13/1944,2,"LE COMBE, France"
FRANCE,LE CREUSIL,24.0,7/9/1944,7/9/1944,1,"LE CREUSIL, France"
